cycle,t_ms,whl_rpm,whl_ok,whl_fresh,mot_rpm,lock_fr,c_slip,locked,err_rpm,p_term,i_term,pi_raw,clamp,slew,iq,mot_i,fault,bus_v
1,20,182.7,1,1,538.7,0.983,0.017,1,15.14,0.00,0.30,0.30,0.30,0.30,+0.37,+0.33,0,19.3
1,40,182.7,1,0,538.7,0.983,0.017,1,15.14,0.00,0.45,0.45,0.45,0.45,+0.37,+0.33,0,19.3
1,60,182.7,1,0,538.7,0.983,0.017,1,15.14,0.00,0.60,0.60,0.60,0.60,+0.37,+0.33,0,19.3
1,80,182.7,1,0,535.9,0.978,0.022,1,15.14,0.00,0.75,0.75,0.75,0.75,+0.05,+0.06,0,19.3
1,107,182.7,1,0,535.9,0.978,0.022,1,15.14,0.00,0.90,0.90,0.90,0.90,+0.05,+0.06,0,19.3
1,127,179.9,1,1,535.9,0.993,0.007,1,16.76,0.00,1.07,1.07,1.07,1.07,+0.05,+0.06,0,19.3
1,147,179.9,1,0,529.3,0.981,0.019,1,16.76,0.00,1.24,1.24,1.24,1.24,-0.66,-0.69,0,19.4
1,174,179.9,1,0,529.3,0.981,0.019,1,16.76,0.00,1.40,1.40,1.40,1.40,-0.66,-0.69,0,19.4
1,194,179.9,1,0,529.3,0.981,0.019,1,16.76,0.00,1.57,1.57,1.57,1.57,-0.66,-0.69,0,19.4
1,214,179.9,1,0,517.0,0.958,0.042,1,16.76,0.00,1.74,1.74,1.74,1.74,-1.12,-1.16,0,19.5
1,239,174.3,1,1,517.0,0.989,0.011,1,15.43,0.00,1.89,1.89,1.89,1.89,-1.12,-1.16,0,19.5
1,259,174.3,1,0,517.0,0.989,0.011,1,15.43,0.00,2.05,2.05,2.05,2.05,-1.12,-1.16,0,19.5
1,279,174.3,1,0,500.3,0.957,0.043,1,15.43,0.00,2.20,2.20,2.20,2.20,-1.60,-1.62,0,19.5
1,305,174.3,1,0,500.3,0.957,0.043,1,15.43,0.00,2.36,2.36,2.36,2.36,-1.60,-1.62,0,19.5
1,325,174.3,1,0,500.3,0.957,0.043,1,15.43,0.00,2.51,2.51,2.51,2.51,-1.60,-1.62,0,19.5
1,345,174.3,1,0,479.1,0.916,0.084,1,15.43,0.00,2.67,2.67,2.67,2.67,-2.05,-2.06,0,19.6
1,371,166.7,1,1,479.1,0.958,0.042,1,9.65,0.00,2.76,2.76,2.76,2.76,-2.05,-2.06,0,19.6
1,391,159.4,1,0,479.1,1.000,0.000,1,8.91,0.00,2.85,2.85,2.85,2.85,-2.05,-2.06,0,19.6
1,411,159.4,1,0,451.8,0.945,0.055,1,8.91,0.00,2.94,2.94,2.94,2.94,-2.49,-2.50,0,19.6
1,437,159.4,1,0,451.8,0.945,0.055,1,8.91,0.00,3.03,3.03,3.03,3.03,-2.49,-2.50,0,19.6
1,457,159.4,1,0,451.8,0.945,0.055,1,8.91,0.00,3.12,3.12,3.12,3.12,-2.49,-2.50,0,19.6
1,478,159.4,1,0,420.5,0.879,0.121,1,8.91,0.00,3.21,3.21,3.21,3.21,-2.78,-2.79,0,19.6
1,503,151.8,1,1,420.5,0.923,0.077,1,3.54,0.00,3.24,3.24,3.24,3.24,-2.78,-2.79,0,19.6
1,523,142.3,1,0,420.5,0.985,0.015,1,2.59,0.00,3.27,3.27,3.27,3.27,-2.78,-2.79,0,19.6
1,543,136.4,1,0,385.5,0.942,0.058,1,2.00,0.00,3.29,3.29,3.29,3.29,-3.02,-3.02,0,19.6
1,572,136.4,1,0,385.5,0.942,0.058,1,2.00,0.00,3.31,3.31,3.31,3.31,-3.02,-3.02,0,19.6
1,592,136.4,1,0,385.5,0.942,0.058,1,2.00,0.00,3.33,3.33,3.33,3.33,-3.02,-3.02,0,19.6
1,612,136.4,1,0,345.5,0.845,0.155,1,2.00,0.00,3.35,3.35,3.35,3.35,-3.14,-3.15,0,19.6
1,639,136.4,1,0,345.5,0.845,0.155,1,2.00,0.00,3.37,3.37,3.37,3.37,-3.14,-3.15,0,19.6
1,659,136.4,1,0,345.5,0.845,0.155,1,2.00,0.00,3.39,3.39,3.39,3.39,-3.14,-3.15,0,19.6
1,679,136.4,1,0,306.0,0.748,0.252,1,2.00,0.00,3.41,3.41,3.41,3.41,-3.19,-3.20,0,19.6
1,705,128.3,1,1,306.0,0.795,0.205,1,-13.45,-0.00,3.27,3.27,3.27,3.27,-3.19,-3.20,0,19.6
1,725,118.7,1,0,306.0,0.859,0.141,1,-14.40,-0.00,3.13,3.13,3.13,3.13,-3.19,-3.20,0,19.6
1,745,104.9,1,0,266.0,0.845,0.155,1,-15.78,-0.00,2.97,2.97,2.97,2.97,-3.21,-3.22,0,19.6
1,771,103.7,1,0,266.0,0.855,0.145,1,-15.90,-0.00,2.81,2.81,2.81,2.81,-3.21,-3.22,0,19.6
1,791,103.7,1,0,266.0,0.855,0.145,1,-15.90,-0.00,2.65,2.65,2.65,2.65,-3.21,-3.22,0,19.6
1,811,103.7,1,0,228.1,0.733,0.267,1,-15.90,-0.00,2.50,2.50,2.50,2.50,-2.89,-2.90,0,19.6
1,838,103.7,1,0,228.1,0.733,0.267,1,-15.90,-0.00,2.34,2.34,2.34,2.34,-2.89,-2.90,0,19.6
1,858,103.7,1,0,228.1,0.733,0.267,1,-15.90,-0.00,2.18,2.18,2.18,2.18,-2.89,-2.90,0,19.6
1,878,103.7,1,0,193.5,0.622,0.378,1,-15.90,-0.00,2.02,2.02,2.02,2.02,-2.43,-2.44,0,19.6
1,903,103.7,1,0,193.5,0.622,0.378,1,-15.90,-0.00,1.86,1.86,1.86,1.86,-2.43,-2.44,0,19.6
1,923,103.7,1,0,193.5,0.622,0.378,1,-15.90,-0.00,1.70,1.70,1.70,1.70,-2.43,-2.44,0,19.6
1,943,103.7,1,0,163.5,0.526,0.474,1,-15.90,-0.00,1.54,1.54,1.54,1.54,-1.97,-1.99,0,19.5
1,970,103.7,1,0,163.5,0.526,0.474,1,-15.90,-0.00,1.38,1.38,1.38,1.38,-1.97,-1.99,0,19.5
1,991,103.7,1,0,163.5,0.526,0.474,1,-15.90,-0.00,1.22,1.22,1.22,1.22,-1.97,-1.99,0,19.5
1,1011,103.7,1,0,137.9,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.52,-1.55,0,19.5
1,1037,103.7,1,0,137.9,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.52,-1.55,0,19.5
1,1057,103.7,1,0,137.9,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.52,-1.55,0,19.5
1,1078,89.4,1,1,121.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,-0.58,0,19.5
1,1105,80.8,1,0,121.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,-0.58,0,19.5
1,1125,71.3,1,0,121.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,-0.58,0,19.5
1,1146,57.0,1,0,109.5,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1171,53.8,1,0,109.5,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1191,53.8,1,0,109.5,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1212,53.8,1,0,104.0,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1237,53.8,1,0,104.0,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1257,53.8,1,0,104.0,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1278,53.8,1,0,99.8,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1303,53.8,1,0,99.8,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1323,53.8,1,0,99.8,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1347,53.8,1,0,96.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1369,53.8,1,0,96.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1389,53.8,1,0,96.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1409,53.8,1,0,92.6,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1435,53.8,1,0,92.6,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1455,53.8,1,0,92.6,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1475,53.8,1,0,89.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1501,53.8,1,0,89.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1521,53.8,1,0,89.3,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1541,53.8,1,0,85.6,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1561,53.8,1,0,85.6,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1581,53.8,1,0,85.6,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1601,53.8,1,0,82.7,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
1,1626,53.8,1,0,82.7,0.000,1.000,0,0.00,0.00,0.00,0.00,0.00,0.00,+0.00,+0.00,0,19.5
