t_ms,sys_state,req_mode,whl_rpm,whl_ok,whl_fresh,mot_rpm,carrier_rpm,err_rpm,integral,regen_cmd,assist_cmd,iq,mot_i,cap_v,bus_v,fault,inhibit
20,1,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,0.0,0.0,0,1
43,1,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,0.0,0.0,0,1
65,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,1
87,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
109,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
135,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
155,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
175,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
196,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
218,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
244,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
264,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
284,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
306,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
328,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
355,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
382,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
409,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
436,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
463,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
491,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
519,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
539,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
561,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
583,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
605,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
632,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
659,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
686,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
713,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
740,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
767,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
794,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
821,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
847,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
867,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
887,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
909,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
931,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
957,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
977,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
997,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1019,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1042,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1073,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1100,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1127,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1154,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1180,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1200,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1220,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1242,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1264,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1290,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1310,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1330,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1352,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1374,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1401,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1428,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1455,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1482,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1508,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1528,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1550,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1576,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1598,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1625,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1652,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1678,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1698,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1718,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1740,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1761,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1787,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1807,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1827,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1849,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1872,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1898,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1918,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1938,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1965,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
1992,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2019,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2046,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2079,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2106,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2128,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2150,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2176,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2204,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2231,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2258,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2285,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2312,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2339,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2366,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2393,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2420,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2447,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2475,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2502,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2529,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2557,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2578,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2600,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2622,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2643,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2669,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2689,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2709,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2732,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2754,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2780,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2800,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2820,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2843,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2864,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2890,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2910,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2931,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
2953,2,0,0.0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,+0.00,+0.00,19.7,19.7,0,0
