tick_ms,system_state,cap_voltage_v,vesc_mech_rpm,vesc_motor_current_a,vesc_input_current_a,vesc_duty_cycle,vesc_fault_code,requested_mode,requested_level,throttle_raw,throttle_valid,inhibit_motor_commands,assist_command_request,regen_command_request,motor_command_a
51736,REGEN,19.4,-39.727272,0.25,0.02,-0.105,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
51849,REGEN,19.4,-60.18182,0.0,0.0,-0.051,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
52064,REGEN,19.4,5.818182,0.0,0.0,0.001,0,REGEN,0.0,1120,True,False,0.0,0.3698228,-0.3698228
52483,REGEN,19.4,12.090909,0.0,0.0,0.0,0,REGEN,0.0,1120,True,False,0.0,3.7523198,-3.7523198
52583,REGEN,19.4,9.909091,0.0,0.0,0.0,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
52704,REGEN,19.2,-170.18182,2.98,0.6,-0.501,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
52825,REGEN,19.4,-279.7273,0.0,0.0,-0.29,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
52937,REGEN,19.4,-268.36364,0.0,0.0,-0.27,0,REGEN,0.0,1120,True,False,0.0,0.0,0.0
53049,REGEN,19.4,-158.54546,0.0,0.0,-0.136,0,REGEN,0.0,1119,True,False,0.0,0.0,0.0
53163,REGEN,19.4,-148.18182,0.0,0.0,-0.136,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
53275,REGEN,19.4,-9.818182,0.0,0.0,-0.023,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
54031,REGEN,19.4,-16.727274,0.21,0.0,-0.035,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
54178,REGEN,19.4,-13.818182,0.04,0.0,-0.029,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
54278,REGEN,19.4,-13.818182,0.04,0.0,-0.029,0,REGEN,0.0,1119,True,False,0.0,0.0,0.0
54984,REGEN,19.4,-11.636364,1.08,0.03,-0.056,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
55099,REGEN,19.4,-9.454546,0.25,0.01,-0.027,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
55652,REGEN,19.4,-6.727273,0.0,0.0,-0.002,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
55760,REGEN,19.4,-11.272728,0.0,0.0,-0.003,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
57456,REGEN,19.4,6.909091,0.0,0.0,0.001,0,REGEN,0.0,1121,True,False,0.0,0.13114984,-0.13114984
60470,REGEN,19.3,-6.4545456,0.0,0.0,-0.003,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
61443,REGEN,19.3,-11.363637,1.41,0.04,-0.058,0,REGEN,0.0,1128,True,False,0.0,0.0,0.0
61568,REGEN,19.3,-9.181818,0.77,0.02,-0.052,0,REGEN,0.0,1120,True,False,0.0,0.0,0.0
62103,REGEN,19.3,9.727273,-0.14,0.0,0.033,0,REGEN,0.0,1123,True,False,0.0,0.3015898,-0.3015898
62220,REGEN,19.3,7.27272768,-0.82,-0.01,0.007,0,REGEN,0.0,1122,True,False,0.0,0.00048653316,-0.00048653316
65608,REGEN,19.3,7.818182,0.0,0.0,0.179,0,REGEN,0.0,1121,True,False,0.0,2.2626788,-2.2626788
65752,REGEN,19.3,58.18182,0.0,0.0,0.384,0,REGEN,1.0,1120,True,False,0.0,23.447594,-23.447594
65865,REGEN,19.4,306.9091,-2.21,-0.82,0.442,0,REGEN,1.0,1137,True,False,0.0,0.0,0.0
65996,REGEN,17.6,-100.63637,15.35,4.01,-0.632,0,REGEN,0.0,1121,True,False,0.0,21.844106,-21.844106
66200,REGEN,19.1,249.0,1.21,0.6,0.494,0,REGEN,1.0,1135,True,False,0.0,0.017411468,-0.017411468
66303,REGEN,18.6,0.0,15.11,1.85,-0.185,0,REGEN,0.0,1120,True,False,0.0,21.35,-21.35
66431,REGEN,19.1,321.7273,0.66,0.11,0.529,0,REGEN,1.0,1121,True,False,0.0,17.744526,-17.744526
66540,REGEN,19.9,305.81818,-20.0,-3.31,0.279,0,REGEN,1.0,1122,True,False,0.0,20.79685,-20.79685
66676,REGEN,20.1,358.9091,-17.95,-4.95,0.335,0,REGEN,1.0,1127,True,False,0.0,18.16742,-18.16742
66790,REGEN,20.2,358.8182,-20.6,-5.1,0.302,0,REGEN,1.0,1120,True,False,0.0,18.260742,-18.260742
66920,REGEN,20.3,372.272732,-18.28,-5.06,0.317,0,REGEN,1.0,1121,True,False,0.0,17.222014,-17.222014
67030,REGEN,20.4,375.0,-18.28,-5.04,0.347,0,REGEN,1.0,1122,True,False,0.0,18.180846,-18.180846
67156,REGEN,20.4,375.0,-18.28,-5.04,0.347,0,REGEN,1.0,1124,True,False,0.0,17.577712,-17.577712
67256,REGEN,20.4,375.0,-18.28,-5.04,0.347,0,REGEN,1.0,1116,True,False,0.0,17.72479,-17.72479
67479,REGEN,20.8,414.0909,-17.42,-5.35,0.343,0,REGEN,1.0,1122,True,False,0.0,18.385192,-18.385192
67617,REGEN,20.9,396.54548,-17.7,-5.34,0.335,0,REGEN,1.0,1137,True,False,0.0,16.961076,-16.961076
67772,REGEN,21.1,402.0909,-18.38,-5.37,0.333,0,REGEN,1.0,1121,True,False,0.0,18.126082,-18.126082
67876,REGEN,21.1,402.0909,-18.38,-5.37,0.333,0,REGEN,1.0,1122,True,False,0.0,17.220272,-17.220272
68029,REGEN,21.5,424.636384,-17.99,-5.91,0.4,0,REGEN,1.0,1121,True,False,0.0,16.948054,-16.948054
68202,REGEN,21.5,424.636384,-17.99,-5.91,0.4,0,REGEN,1.0,1121,True,False,0.0,17.353432,-17.353432
68437,REGEN,21.6,418.0909,-16.93,-5.29,0.355,0,REGEN,1.0,1122,True,False,0.0,16.403934,-16.403934
68537,REGEN,21.9,429.36364,-17.36,-5.43,0.376,0,REGEN,1.0,1121,True,False,0.0,15.44759,-15.44759
68726,REGEN,21.9,410.272732,-16.41,-5.0,0.355,0,REGEN,1.0,1122,True,False,0.0,13.630167,-13.630167
68859,REGEN,21.9,394.45456,-15.49,-4.49,0.343,0,REGEN,1.0,1121,True,False,0.0,11.916396,-11.916396
68960,REGEN,21.9,362.45456,-13.65,-3.8,0.296,0,REGEN,1.0,1121,True,False,0.0,10.473469,-10.473469
69066,REGEN,21.9,348.0909,-12.0,-3.24,0.318,0,REGEN,1.0,1121,True,False,0.0,9.558834,-9.558834
69171,REGEN,21.8,313.9091,-9.55,-2.41,0.261,0,REGEN,1.0,1121,True,False,0.0,7.764847,-7.764847
69288,REGEN,21.8,309.36364,-8.82,-2.11,0.274,0,REGEN,1.0,1122,True,False,0.0,6.6652276,-6.6652276
69401,REGEN,21.7,266.63638,-6.69,-1.5,0.241,0,REGEN,1.0,1121,True,False,0.0,5.73812,-5.73812
69540,REGEN,21.7,263.0909,-6.31,-1.34,0.242,0,REGEN,1.0,1149,True,False,0.0,4.9695808,-4.9695808
69654,REGEN,21.7,228.9091,-4.99,-0.99,0.213,0,REGEN,1.0,1121,True,False,0.0,4.0835136,-4.0835136
69766,REGEN,21.7,226.0,-4.65,-0.86,0.208,0,REGEN,1.0,1121,True,False,0.0,2.3034454,-2.3034454
69870,REGEN,21.6,85.18182,-3.39,-0.49,-0.033,0,REGEN,1.0,1125,True,False,0.0,0.0,0.0
69999,REGEN,21.4,-173.27274,2.0,0.32,-0.375,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
70104,REGEN,21.4,-173.27274,2.0,0.32,-0.375,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
70207,REGEN,21.4,-173.27274,2.0,0.32,-0.375,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
70386,REGEN,21.5,-174.72728,0.0,0.0,-0.151,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
70516,REGEN,21.5,-89.27273,0.0,0.0,-0.058,0,REGEN,0.0,1120,True,False,0.0,0.0,0.0
70738,REGEN,21.5,-18.545456,0.0,0.0,-0.033,0,REGEN,0.0,1120,True,False,0.0,0.0,0.0
70841,REGEN,21.5,-16.09091,0.0,0.0,-0.032,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
70940,REGEN,21.5,-16.09091,0.0,0.0,-0.032,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
71098,REGEN,21.5,-18.818182,0.0,0.0,-0.027,0,REGEN,0.0,1120,True,False,0.0,0.0,0.0
71220,REGEN,21.5,-12.727273,0.0,0.0,-0.027,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
71332,REGEN,21.5,-12.818182,0.0,0.0,-0.025,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
71448,REGEN,21.5,-11.636364,0.0,0.0,-0.022,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
71556,REGEN,21.5,-8.545455,0.0,0.0,-0.021,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
71670,REGEN,21.5,-12.545455,0.0,0.0,-0.021,0,REGEN,0.0,1124,True,False,0.0,0.0,0.0
71786,REGEN,21.5,-9.545455,0.0,0.0,-0.019,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
71998,REGEN,21.5,-10.545455,0.0,0.0,-0.017,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
72210,REGEN,21.5,-11.727273,0.0,0.0,-0.018,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
72335,REGEN,21.5,-9.454546,0.0,0.0,-0.018,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
72444,REGEN,21.5,-11.181819,0.0,0.0,-0.017,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
72621,REGEN,21.5,-11.181819,0.0,0.0,-0.017,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
72744,REGEN,21.5,-9.363637,0.0,0.0,-0.017,0,REGEN,0.0,1120,True,False,0.0,0.0,0.0
72845,REGEN,21.5,-9.363637,0.0,0.0,-0.017,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
74378,REGEN,21.4,8.818182,0.0,0.0,0.0,0,REGEN,0.0,1122,True,False,0.0,0.09604741,-0.09604741
74584,REGEN,21.5,30.454546,-0.47,-0.05,0.142,0,REGEN,1.0,1122,True,False,0.0,1.6660112,-1.6660112
74688,REGEN,21.5,59.545456,-1.42,-0.18,0.199,0,REGEN,1.0,1138,True,False,0.0,6.77823636,-6.77823636
74825,REGEN,21.5,323.54548,-2.06,-0.71,0.446,0,REGEN,1.0,1122,True,False,0.0,5.807272,-5.807272
74928,REGEN,21.5,323.54548,-2.06,-0.71,0.446,0,REGEN,1.0,1121,True,False,0.0,5.205467,-5.205467
